(z2,s3,pot_s3,s2,pot_s2,z1,s1,pot_s1,s0)
355:(0,1,9,0,3,0,0,6,1)
356:(0,1,9,0,3,0,0,9,0)
357:(0,1,9,0,3,0,0,9,1)
358:(0,1,9,0,3,0,0,12,0)
359:(0,1,9,0,3,0,0,12,1)
360:(0,1,9,0,3,0,1,11,0)
361:(0,1,9,0,3,0,1,11,1)
362:(0,1,9,0,3,0,1,14,0)
363:(0,1,9,0,3,0,1,14,1)
364:(0,1,9,0,6,0,0,0,0)
365:(0,1,9,0,6,0,0,0,1)
366:(0,1,9,0,6,0,0,3,0)
367:(0,1,9,0,6,0,0,3,1)
368:(0,1,9,0,6,0,0,6,0)
369:(0,1,9,0,6,0,0,6,1)
370:(0,1,9,0,6,0,0,9,0)
371:(0,1,9,0,6,0,0,9,1)
372:(0,1,9,0,6,0,0,12,0)
373:(0,1,9,0,6,0,0,12,1)
374:(0,1,9,0,6,0,1,11,0)
375:(0,1,9,0,6,0,1,11,1)
376:(0,1,9,0,6,0,1,14,0)
377:(0,1,9,0,6,0,1,14,1)
378:(0,1,9,0,9,0,0,0,0)
379:(0,1,9,0,9,0,0,0,1)
380:(0,1,9,0,9,0,0,3,0)
381:(0,1,9,0,9,0,0,3,1)
382:(0,1,9,0,9,0,0,6,0)
383:(0,1,9,0,9,0,0,6,1)
384:(0,1,9,0,9,0,0,9,0)
385:(0,1,9,0,9,0,0,9,1)
386:(0,1,9,0,9,0,0,12,0)
387:(0,1,9,0,9,0,0,12,1)
388:(0,1,9,0,9,0,1,11,0)
389:(0,1,9,0,9,0,1,11,1)
390:(0,1,9,0,9,0,1,14,0)
391:(0,1,9,0,9,0,1,14,1)
392:(0,1,9,1,9,0,0,0,0)
393:(0,1,9,1,9,0,0,0,1)
394:(0,1,9,1,9,0,0,3,0)
395:(0,1,9,1,9,0,0,3,1)
396:(0,1,9,1,9,0,0,6,0)
397:(0,1,9,1,9,0,0,6,1)
398:(0,1,9,1,9,0,0,9,0)
399:(0,1,9,1,9,0,0,9,1)
400:(0,1,9,1,9,0,0,12,0)
401:(0,1,9,1,9,0,0,12,1)
402:(0,1,9,1,9,0,1,11,0)
